epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,0.4686154527959839,0.17066871968732364,0.32829888712241656,0.17753623188405798,0.3333333333333333,0.001
2,0.17470492031691753,0.1706767017426698,0.20747217806041335,0.17753623188405798,0.3333333333333333,0.001
3,0.17459121495722207,0.170682518378548,0.20190779014308427,0.17753623188405798,0.3333333333333333,0.001
4,0.17457046574174126,0.17068403592144232,0.20190779014308427,0.17753623188405798,0.3333333333333333,0.001
5,0.17455589463297627,0.17068839375523553,0.20190779014308427,0.17753623188405798,0.3333333333333333,0.0005
6,0.1745378534725626,0.17069105544815893,0.20190779014308427,0.17753623188405798,0.3333333333333333,0.0005
