epoch,train_loss,val_loss,lr
1,1.0271374388636099,1.0061041319715804,0.001
2,0.9600431432107269,1.0094403082477874,0.001
3,0.9261974394321442,0.9409358913915745,0.001
4,0.9296547281629279,0.9466985731885054,0.001
5,0.8926906815086629,0.9578916886146518,0.001
6,0.8854832182923326,0.9803746649320575,0.001
7,0.8662083961234108,0.9447949038467546,0.001
8,0.8762134923731867,0.9722648250020068,0.001
9,0.8637860962645113,1.00849125350731,0.001
10,0.8676199905503812,0.977451943832895,0.001
11,0.8881757930626253,0.9911970092334609,0.0005
12,0.8425194119053309,0.998452283334041,0.0005
13,0.8235625704568267,1.0251760616682577,0.0005
14,0.810722392252191,1.0290934564410776,0.0005
15,0.8141371692862797,1.0687221569427545,0.0005
16,0.7944733416808516,1.0790133420108021,0.0005
17,0.7645088709209243,1.0704957583676213,0.0005
18,0.7879612171311484,1.1293573388154956,0.0005
