epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,0.3882520100750481,0.1841489460251548,0.24680511182108625,0.13090909090909092,0.33988985051140835,0.001
2,0.15231679232356649,0.1898976284265518,0.12619808306709265,0.10181818181818182,0.2853396275898243,0.001
3,0.13960782017189854,0.196888535564596,0.14616613418530353,0.12363636363636364,0.35247836349331235,0.001
4,0.1378140936073023,0.22293461030179804,0.12060702875399361,0.11636363636363636,0.33097298714922635,0.001
5,0.1386314613369707,0.1914660970731215,0.12060702875399361,0.10909090909090909,0.3015997901914503,0.001
6,0.12288255080247458,0.20033396189863031,0.13178913738019168,0.12,0.33910306845003935,0.001
7,0.12686777743287742,0.20943601965904235,0.1269968051118211,0.10545454545454545,0.28035667453448726,0.001
8,0.12274765673155982,0.19379927044565026,0.13099041533546327,0.13090909090909092,0.35824809861001833,0.001
9,0.11177125439857141,0.19290769652886824,0.1413738019169329,0.10909090909090909,0.28061893522161024,0.0005
10,0.10661655507339075,0.22849273724989458,0.14297124600638977,0.11636363636363636,0.3099921321793863,0.0005
11,0.09267864807154805,0.2126017037304965,0.15814696485623003,0.12,0.3102543928665093,0.0005
12,0.08355755456529868,0.21527700781822204,0.17172523961661343,0.12727272727272726,0.3031849816352923,0.0005
13,0.08693046696460285,0.21869249777360397,0.1597444089456869,0.12,0.30638895456172105,0.0005
14,0.08258423913782016,0.24186649707230654,0.17651757188498401,0.12,0.2843022121624363,0.0005
15,0.07889843782106527,0.24457727470181206,0.17731629392971246,0.13818181818181818,0.29637783109119825,0.0005
16,0.06976133734939959,0.2412679038806395,0.19408945686900958,0.13818181818181818,0.28202196530149,0.0005
17,0.06734802397771385,0.23006141537969763,0.2388178913738019,0.1709090909090909,0.3162644259526975,0.00025
18,0.06396075814200666,0.24934173134240237,0.20766773162939298,0.1709090909090909,0.3162644259526975,0.00025
19,0.05731605928831588,0.2637716216390783,0.2244408945686901,0.19272727272727272,0.30140729343095113,0.00025
20,0.048458505564699536,0.26597994381731205,0.24281150159744408,0.18181818181818182,0.29261574675177865,0.00025
21,0.048929457621166884,0.26900695752013815,0.2539936102236422,0.2109090909090909,0.2745546413036036,0.00025
22,0.05255887766901297,0.27333026186986403,0.24600638977635783,0.24,0.29155636860674977,0.00025
23,0.03965084621319755,0.27345820291475814,0.26996805111821087,0.19272727272727272,0.2884312030789146,0.00025
