epoch,train_loss,val_loss,lr
1,1.0397421797935256,1.101799364089966,0.001
2,0.982701501547818,1.128036082874645,0.001
3,0.9592439513387846,0.9562283932078969,0.001
4,0.942139693183113,0.9856260811198841,0.001
5,0.9196468792891163,0.9277594835107976,0.001
6,0.9348987074075902,1.0177349081906406,0.001
7,0.9118422698672335,1.1430845260620117,0.001
8,0.8963809167337493,1.0724857963215222,0.001
9,0.8992336061318211,0.9465304314006459,0.001
10,0.913120995894098,1.3052430551702325,0.001
11,0.9052727587060581,0.9528185601667924,0.001
12,0.9055435034061197,1.3583060281926935,0.001
13,0.9066586127466332,0.9774154194918546,0.0005
14,0.9023373559140933,1.0123582753268154,0.0005
15,0.8570232027684074,1.0161105424707586,0.0005
16,0.8407526427611307,1.1118004538796165,0.0005
17,0.8376257410612423,1.0665791580893778,0.0005
18,0.8117673147688199,1.0710684178092262,0.0005
19,0.8001791737064506,1.0968077590248801,0.0005
20,0.8056931265891071,1.0873195388100363,0.0005
