epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,0.5540580124900745,0.1731324859640815,0.347444089456869,0.2545454545454545,0.3205835444225537,0.001
2,0.1766726250846546,0.17340383502570064,0.32028753993610226,0.23636363636363636,0.3336898395721925,0.001
3,0.1777333273007847,0.17314384639263153,0.3011182108626198,0.24727272727272728,0.2901960784313726,0.001
4,0.17317809426365569,0.1734930125691674,0.3562300319488818,0.2290909090909091,0.33814616755793225,0.001
5,0.17281890334412695,0.17521321345459331,0.3698083067092652,0.2109090909090909,0.3405228758169934,0.0005
6,0.1740125933775125,0.1697917006774382,0.38817891373801916,0.32727272727272727,0.39191919191919194,0.0005
7,0.1680525879795178,0.16912334875626997,0.38977635782747605,0.27636363636363637,0.34949494949494947,0.0005
8,0.1682258021241179,0.169793983372775,0.37859424920127793,0.27636363636363637,0.3530005941770648,0.0005
9,0.16550063820311817,0.1679759567975998,0.3865814696485623,0.29818181818181816,0.38871063576945925,0.0005
10,0.16182460409764665,0.16835904083468697,0.4033546325878594,0.2909090909090909,0.37213309566250746,0.0005
