epoch,train_loss,val_loss,lr
1,1.0196815339563767,1.2722454975951802,0.001
2,0.9606297905730145,1.2492603129690343,0.001
3,0.9396619765369645,1.2272819007526745,0.001
4,0.8851778421577535,1.2288817206296054,0.001
5,0.8737550503378904,1.235635339238427,0.001
6,0.8528087225728628,1.206419044082815,0.001
7,0.8582897451975378,1.2004905447092924,0.001
8,0.9146896312610554,1.302073452906175,0.001
9,0.8528186182888934,1.2039088172262364,0.001
10,0.831318579537474,1.2069266651977193,0.001
11,0.8046228088562393,1.2016520395062187,0.001
12,0.8323088934614087,1.246959678476507,0.001
13,0.8230036475171386,1.2004067437215284,0.001
14,0.7874353853889806,1.2201774805242365,0.001
15,0.8227129051209628,1.175017401413484,0.001
16,0.8090070492911697,1.2671725593913685,0.001
17,0.8168197912256207,1.2344898594509472,0.001
18,0.7861085770296277,1.1911437916755676,0.001
19,0.7690409344996334,1.1811579158089378,0.001
20,0.748152262972917,1.2832207569209013,0.001
21,0.7735846913814167,1.337353828278455,0.001
22,0.7578650303568428,1.2280441253835506,0.001
23,0.7477455986980777,1.274637115760283,0.0005
24,0.7740539810719795,1.2947982629862698,0.0005
25,0.6948854749814348,1.2178956580162048,0.0005
26,0.6819437362802283,1.3846093496409329,0.0005
27,0.666855067887763,1.2642817633802241,0.0005
28,0.6633746929567009,1.2958652968840165,0.0005
29,0.647545658282033,1.427316779873588,0.0005
30,0.6539145191793676,1.2274628125537526,0.0005
