epoch,train_loss,val_loss,lr
1,1.0568526646882521,1.0444845384375512,0.001
2,1.0066121853554733,1.0167146512486425,0.001
3,1.0085441256832928,1.0129471235482028,0.001
4,0.9988116615407646,1.0079525415167252,0.001
5,1.0057263190551045,1.0102212718185695,0.001
6,0.9963362537329556,1.007618727561258,0.001
7,0.9930148387234209,1.0351742756399036,0.001
8,0.986705410012851,1.0119405702200686,0.001
9,0.9870135428900565,1.0433826159009443,0.001
10,0.9760047969782016,1.0195626341876622,0.001
11,0.9826980239755928,1.134877312151074,0.001
12,0.9846690433729294,1.024579925427269,0.001
13,0.9832566816152085,1.0114338977873163,0.001
14,0.9616382282024732,1.0625171217168896,0.001
15,0.9750248040729609,1.0342999443129148,0.001
16,0.9445324243550783,1.0505542390068696,0.001
17,0.9553017948548382,1.1570007003096707,0.0005
18,0.91640081630439,1.1382862177644641,0.0005
19,0.902703072970601,1.1871299511048852,0.0005
20,0.8943168866741026,1.2672595772639845,0.0005
21,0.8921992934250619,1.2466139744936935,0.0005
22,0.8723860351036765,1.3423296678357008,0.0005
23,0.8751359949912684,1.316640581218854,0.0005
24,0.8828596048574979,1.3419857509737092,0.0005
25,0.8667453374849544,1.558410760832996,0.0005
26,0.8592331232650479,1.6826205356980404,0.0005
27,0.8895618417553465,1.4919876625867394,0.0005
28,0.8377026360935781,2.115807819495679,0.00025
29,0.8511564021921125,1.5979110991082541,0.00025
30,0.826057625981913,1.7852981432989683,0.00025
31,0.8141670297608241,1.7668112778082126,0.00025
