epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,2.9260901284564804,1.2262572266545075,0.3575883575883576,0.5745257452574526,0.2842795098495424,0.001
2,1.1265126716239702,1.1010979885654397,0.4518364518364518,0.7669376693766937,0.328912672560881,0.001
3,1.1001373968930683,1.0980633477854536,0.16216216216216217,0.1897018970189702,0.3443781421363333,0.001
4,1.0687530490977022,1.3431639151198431,0.44213444213444214,0.8211382113821138,0.3506281991624011,0.001
5,1.1080973276394734,1.2400169036575772,0.45114345114345117,0.6720867208672087,0.34500542888165037,0.001
6,1.114218317958438,1.282602951778629,0.4656964656964657,0.7425474254742548,0.36241662788894063,0.001
7,1.1068330950317329,1.167491097437334,0.5017325017325017,0.5528455284552846,0.3687624887088386,0.001
8,1.0707040556751022,1.1775179506963507,0.4670824670824671,0.6693766937669376,0.34391965255157436,0.001
9,1.0713707682000873,1.2839882509495184,0.5162855162855163,0.7533875338753387,0.34512176205987277,0.001
10,1.0751884684988962,1.2298733781023723,0.5550935550935551,0.6937669376693767,0.3624097847608098,0.001
11,1.0892093510406347,1.30108118864902,0.5675675675675675,0.7452574525745257,0.3809386946961195,0.001
12,1.094026321763391,1.2731542012232753,0.553014553014553,0.7127371273712737,0.37001021907134185,0.001
13,1.0339031123652362,1.3261362834351496,0.5135135135135135,0.6097560975609756,0.4159321709139682,0.001
14,1.035608539214501,1.2721629598276403,0.5405405405405406,0.7046070460704607,0.36675289008111384,0.0005
15,1.0135494014577409,1.300853015930672,0.5897435897435898,0.7208672086720868,0.3840865336362558,0.0005
16,1.005936638563768,1.3147302775525143,0.5433125433125433,0.7452574525745257,0.35058257830819617,0.0005
17,0.9745381787181809,1.2870316208216557,0.5606375606375607,0.6910569105691057,0.3766594585717023,0.0005
18,0.9499083928820662,1.3634103139241536,0.5627165627165627,0.7154471544715447,0.373511619631566,0.0005
19,0.9574254722291202,1.4585761322884703,0.5814275814275814,0.7696476964769647,0.33871659412950844,0.0005
20,0.932540005722231,1.5289020686937864,0.5509355509355509,0.7317073170731707,0.3496701612240987,0.0005
21,0.8941547835112774,1.6973944162611716,0.5862785862785863,0.7452574525745257,0.31812562158413854,0.0005
22,0.9353038033345302,1.548988766140408,0.589050589050589,0.7289972899728997,0.35488690590242605,0.0005
23,0.8778874911703505,1.605760647352472,0.5862785862785863,0.7208672086720868,0.3299916057628263,0.0005
24,0.8746222180784864,1.926883487520502,0.6223146223146223,0.7750677506775068,0.35170713236434636,0.0005
25,0.9138196995914272,1.7549068126575087,0.6098406098406098,0.7181571815718157,0.33762397467130173,0.00025
26,0.8937512405696877,1.9199510118179528,0.589050589050589,0.7371273712737128,0.3386071040794168,0.00025
27,0.8608940434555006,1.870771891379421,0.6278586278586279,0.7506775067750677,0.3527541309683482,0.00025
28,0.8739134078214174,1.7945439182322847,0.6202356202356203,0.7262872628726287,0.35380112957235005,0.00025
