epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,0.310198670587631,0.17757464490153574,0.3200319233838787,0.2,0.3333333333333333,0.001
2,0.17540818326775778,0.17397615925832227,0.20670391061452514,0.2,0.3333333333333333,0.001
3,0.17337946358292178,0.1720009504665028,0.20031923383878691,0.2,0.3333333333333333,0.001
4,0.16934892264063228,0.17141357546502894,0.20031923383878691,0.2,0.3333333333333333,0.001
5,0.17024305213097088,0.16987451271577314,0.20031923383878691,0.2,0.3333333333333333,0.001
6,0.16662458152601647,0.16765081882476807,0.30726256983240224,0.2872727272727273,0.3923332705941402,0.001
7,0.1622594532044716,0.16804003580050034,0.2944932162809258,0.24727272727272728,0.3680030114812723,0.001
8,0.16312900814692305,0.16779385512525385,0.3272146847565842,0.38181818181818183,0.39777903256164127,0.001
9,0.15889736741828805,0.16928729821335187,0.41739824421388666,0.41454545454545455,0.40587238848108415,0.001
10,0.1503020741479547,0.17403840856118635,0.45251396648044695,0.3418181818181818,0.3728715728715728,0.0005
