epoch,train_loss,val_loss,lr
1,1.0268205516689741,1.3205130473050204,0.001
2,0.9695281845453991,1.2857568909905173,0.001
3,0.9336486716183543,1.2591076365384188,0.001
4,0.9380045123693493,1.265939270583066,0.001
5,0.9057850094774823,1.2509987000985578,0.001
6,0.9159943924747442,1.2256199836730957,0.001
7,0.9103333720503443,1.2487415599822997,0.001
8,0.9413837954850658,1.242588075507771,0.001
9,0.8863983952016725,1.2605468292669817,0.001
10,0.8633734289609876,1.240930355462161,0.001
11,0.8584039846048491,1.2541762974045494,0.001
12,0.8475909829612013,1.2824950510805304,0.001
13,0.8465062256093637,1.286088168404319,0.001
14,0.8389899273493022,1.2955607277696783,0.0005
15,0.8401641044677154,1.2824454413760793,0.0005
16,0.8110173055090353,1.306407168561762,0.0005
17,0.7910465585826505,1.3128755057941783,0.0005
18,0.7790999336495831,1.3149693996256049,0.0005
19,0.7633368167465349,1.3226777388832787,0.0005
20,0.7552028270039808,1.3363756494088606,0.0005
21,0.7455368442505172,1.4014679436250166,0.0005
