epoch,train_loss,val_loss,lr
1,1.0077778944269715,0.9686725962421169,0.001
2,0.9644807739776767,0.991647749275401,0.001
3,0.9299311852229506,0.957233907951825,0.001
4,0.9010427394875968,0.967200873122699,0.001
5,0.9275983527819817,0.9779323335143103,0.001
6,0.9004450526899344,0.9857444249201512,0.001
7,0.8811150378421279,0.9453313480252805,0.001
8,0.853790511092177,0.9703354239463806,0.001
9,0.8641400785664278,0.9637936738090239,0.001
10,0.8483220147033596,0.9657798262609951,0.001
11,0.8452466292900241,1.0105636743963629,0.001
12,0.8370941252174438,0.9755135772452839,0.001
13,0.857078896053958,0.9985369305679763,0.001
14,0.9196672836312736,0.9886991206718527,0.001
15,0.8546474550612717,0.9433890270150226,0.001
16,0.834639028043777,1.001550087030383,0.001
17,0.8454191359435722,0.9478739582110143,0.001
18,0.8233579657619308,1.0178257201028906,0.001
19,0.7865126778838762,0.9893629376007163,0.001
20,0.8044879599136509,1.0381294324778128,0.001
21,0.7766152845948276,1.0047162620053776,0.001
22,0.8257386916631404,0.9669352080942928,0.001
23,0.7808041438131302,1.0522420056488202,0.0005
24,0.7399943115583354,0.9627186478911967,0.0005
25,0.7305397435035615,1.0239472086878791,0.0005
26,0.6964097087879663,1.0291412274042766,0.0005
27,0.7044667290400255,1.012369478094405,0.0005
28,0.6836934588873048,1.069829139156618,0.0005
29,0.673990686045084,1.0675244646659796,0.0005
30,0.6610214363795349,1.030022904060889,0.0005
