epoch,train_loss,val_loss,lr
1,1.0078239561827549,1.1453421436656606,0.001
2,0.999886369365142,1.0188856081529096,0.001
3,0.9517750539794777,1.0531258990547874,0.001
4,0.9562727586025292,0.9941211700439453,0.001
5,0.9278777705036139,1.14644493709911,0.001
6,0.9100893135116142,1.0460660284215755,0.001
7,0.8969387857925306,1.2075575499101119,0.001
8,0.9042506564626981,1.032567464655096,0.001
9,0.8686107714467116,1.2810357865420254,0.001
10,0.8732929679841134,1.1659738670695912,0.001
11,0.8865930891924917,1.1834313505346126,0.001
12,0.8754200584442604,1.398244507529519,0.0005
13,0.8464838559200571,1.2526018177379261,0.0005
14,0.8677839772353648,1.3696759275956587,0.0005
15,0.8288108894450917,1.0328676769950174,0.0005
16,0.8359863059550949,1.1869242338700727,0.0005
17,0.8234242251387867,1.1338483342257413,0.0005
18,0.8379498642711367,1.4044586970589377,0.0005
19,0.8466353334734443,1.1642628487673672,0.0005
