epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,2.145628137010055,1.0772128170186823,0.44453312051077415,0.4763636363636364,0.4589584692324418,0.001
2,1.0996240394551184,1.0922384665229103,0.432561851556265,0.3890909090909091,0.4016634050880626,0.001
3,1.053927980797441,1.00053222916343,0.5570630486831604,0.7090909090909091,0.41101326375298974,0.001
4,1.0452771882771115,1.0057350371100686,0.573024740622506,0.6181818181818182,0.4767884322678843,0.001
5,1.0429556010155705,0.9851767102154818,0.4868316041500399,0.7163636363636363,0.4763535551206784,0.001
6,0.9746207546350582,0.9971924643083052,0.5706304868316041,0.5854545454545454,0.411176342683192,0.001
7,0.9111956864571629,0.9964236992055719,0.5714285714285714,0.68,0.4507501630789303,0.001
8,0.9094224758654333,1.0259344590793957,0.5754189944134078,0.7163636363636363,0.4867362470102196,0.001
9,0.9082239500922579,1.0953481327403676,0.5546687948922586,0.7345454545454545,0.42166775385953464,0.001
10,0.911637702705569,1.1002790273319591,0.6193136472466081,0.7090909090909091,0.41101326375298974,0.001
11,0.8071159437382022,1.1257859854264693,0.6185155626496409,0.6727272727272727,0.4477060230484888,0.001
12,0.8638710231183533,1.2506517505645751,0.5690343176376695,0.6763636363636364,0.46999347684279186,0.001
13,0.8223017613029632,1.161154472611167,0.6009577015163607,0.6363636363636364,0.45325070667536416,0.0005
14,0.750516024667172,1.1991304592652754,0.5945730247406225,0.7418181818181818,0.4454772776690585,0.0005
15,0.7112860963854519,1.2496126846833662,0.6185155626496409,0.7272727272727273,0.4601543813872581,0.0005
16,0.709205055179733,1.3169441548260776,0.6256983240223464,0.7381818181818182,0.4128071319852142,0.0005
17,0.7055847255924846,1.296509519923817,0.6137270550678372,0.7345454545454545,0.4424331376386171,0.0005
18,0.6387417945425128,1.3160066543925892,0.6640063846767758,0.7563636363636363,0.46194824961948244,0.0005
19,0.6471636650187438,1.3269503324682062,0.7462090981644054,0.7490909090909091,0.46928680147858226,0.0005
20,0.5852298590771599,1.4232414843819359,0.7071029529130087,0.6981818181818182,0.41682974559686886,0.0005
21,0.5663039606281595,1.4028052199970593,0.690343176376696,0.7381818181818182,0.45433789954337894,0.00025
22,0.5736704443753099,1.447324395613237,0.6879489225857941,0.7381818181818182,0.4854859752120026,0.00025
23,0.49951444559114416,1.4331075083125722,0.6983240223463687,0.7090909090909091,0.473309415090237,0.00025
