epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,0.5365748601837661,0.26361926208842884,0.29073482428115016,0.10909090909090909,0.3407079646017699,0.001
2,0.18513279578413444,0.19278640297326174,0.09424920127795527,0.08,0.29611111111111116,0.001
3,0.14567704024477698,0.2226114255731756,0.09824281150159744,0.09454545454545454,0.34833333333333333,0.001
4,0.14508352044243783,0.2278166595914147,0.09424920127795527,0.07272727272727272,0.27166666666666667,0.001
5,0.13213814088045217,0.23596371683207426,0.10383386581469649,0.09454545454545454,0.34944444444444445,0.001
6,0.1165171540119111,0.23573614640669388,0.11421725239616613,0.07636363636363637,0.2827777777777778,0.001
7,0.10644920527363738,0.27597693746740165,0.1182108626198083,0.07636363636363637,0.2833333333333333,0.001
8,0.10659434519612941,0.2758285676349293,0.11581469648562301,0.08,0.2966666666666667,0.001
9,0.09216136860247619,0.31637718764218414,0.12300319488817892,0.08,0.2966666666666667,0.001
10,0.08526434262577719,0.3070542947812514,0.12859424920127796,0.06545454545454546,0.2438888888888889,0.0005
11,0.06997009841487192,0.31836835384368894,0.14297124600638977,0.08363636363636363,0.29925270403146514,0.0005
12,0.06127231768049752,0.31306074760176916,0.14297124600638977,0.08,0.27294985250737464,0.0005
13,0.06444867808943072,0.31748979926109316,0.15575079872204473,0.08363636363636363,0.29814159292035397,0.0005
14,0.053342418105433734,0.3305785206231204,0.15175718849840256,0.08,0.29777777777777775,0.0005
15,0.05087798982918167,0.3586734137751839,0.15814696485623003,0.08,0.26164700098328414,0.0005
16,0.06524466989657131,0.32654431689869273,0.15814696485623003,0.07272727272727272,0.2592527040314651,0.0005
17,0.03988298195333907,0.34332490400834514,0.19249201277955272,0.08727272727272728,0.25384955752212385,0.0005
18,0.04241122359844347,0.35731440674174914,0.1757188498402556,0.09090909090909091,0.2677384464110128,0.00025
19,0.03810846892902598,0.37842201666398484,0.1900958466453674,0.08363636363636363,0.22810226155358895,0.00025
20,0.040258218686039834,0.3632332641428167,0.19488817891373802,0.10545454545454545,0.2860521140609636,0.00025
