epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,0.5632888817682518,0.22210932237180797,0.3232242617717478,0.09090909090909091,0.3333333333333333,0.001
2,0.16777132428938735,0.16909989485686475,0.10454908220271349,0.09090909090909091,0.3333333333333333,0.001
3,0.1545098692487928,0.14101697740229693,0.11652035115722266,0.09090909090909091,0.31906096361848574,0.001
4,0.14662277522509515,0.14422861166975715,0.1189146049481245,0.07636363636363637,0.2872222222222222,0.001
5,0.1316722502005833,0.13719920006665318,0.12450119712689545,0.08727272727272728,0.3283333333333333,0.001
6,0.1251081811458895,0.13883212926712904,0.13088587390263368,0.09818181818181818,0.365,0.001
7,0.12129582425152789,0.13489234675060618,0.13567438148443736,0.09090909090909091,0.3416666666666666,0.001
8,0.12027385103957042,0.148188334134492,0.13088587390263368,0.08727272727272728,0.32722222222222225,0.001
9,0.11609916132112931,0.15094505700198088,0.1412609736632083,0.08727272727272728,0.3244444444444445,0.001
10,0.10862671997300026,0.16338444219394163,0.14285714285714285,0.08727272727272728,0.32666666666666666,0.001
11,0.09920972450104887,0.1413255245035345,0.14764565043894654,0.10545454545454545,0.3972222222222222,0.001
12,0.10447050136322987,0.1490996869856661,0.1484437350359138,0.10181818181818182,0.38277777777777783,0.001
13,0.09948999827084,0.16688157585534183,0.13886671987230648,0.09818181818181818,0.3661111111111111,0.001
14,0.08955816989980121,0.17953031623905355,0.1516360734237829,0.08727272727272728,0.325,0.001
15,0.09111064811462369,0.17047531366348267,0.1516360734237829,0.08363636363636363,0.31277777777777777,0.0005
16,0.08812407477248195,0.15603422113440255,0.15083798882681565,0.09454545454545454,0.3544444444444445,0.0005
17,0.0814812233566001,0.16377409493381326,0.1564245810055866,0.08363636363636363,0.3133333333333333,0.0005
18,0.06808172998145663,0.18578248517079787,0.16280925778132482,0.09090909090909091,0.33888888888888885,0.0005
19,0.07034985772248563,0.1711380644819953,0.16759776536312848,0.09090909090909091,0.34,0.0005
20,0.06743130744609563,0.183343929187818,0.16280925778132482,0.09090909090909091,0.33888888888888885,0.0005
21,0.06786776523730893,0.17156607083298944,0.16440542697525937,0.09454545454545454,0.35388888888888886,0.0005
22,0.06994421245397944,0.18365394375540994,0.16280925778132482,0.08727272727272728,0.32666666666666666,0.0005
23,0.062016442739192906,0.18436626781116833,0.16839584996009577,0.09090909090909091,0.34,0.00025
24,0.06491417201727938,0.18205382160165093,0.1636073423782921,0.09090909090909091,0.34,0.00025
25,0.06369080156807365,0.17560652575709604,0.16280925778132482,0.09818181818181818,0.36833333333333335,0.00025
26,0.05999161743284675,0.18277347803115845,0.16679968076616122,0.09454545454545454,0.35388888888888886,0.00025
