epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,0.5038448026576362,0.16784909546375273,0.32028753993610226,0.20363636363636364,0.3369485338475342,0.001
2,0.17005641844135505,0.1721906794201244,0.31070287539936103,0.1890909090909091,0.3469945355191257,0.001
3,0.173593057515903,0.17563976905562662,0.3746006389776358,0.21454545454545454,0.35740030229043135,0.001
4,0.17418928720509283,0.16743943469090894,0.35782747603833864,0.33090909090909093,0.36281761883765157,0.001
5,0.16760398333255475,0.1669361555034464,0.3546325878594249,0.26545454545454544,0.3389722125334263,0.001
6,0.1650185080382009,0.1660927309773185,0.3817891373801917,0.3054545454545455,0.37421164278835506,0.001
7,0.16224895046351437,0.1630908623608676,0.38498402555910544,0.36363636363636365,0.42582257876991053,0.001
8,0.15910236542217268,0.15902757622978905,0.3913738019169329,0.4036363636363636,0.43843739100104634,0.001
9,0.15762213896067379,0.16851710801774805,0.41773162939297126,0.33454545454545453,0.4344843622834554,0.001
10,0.1596676938402386,0.16340460614724592,0.4073482428115016,0.4072727272727273,0.4154222962226859,0.001
11,0.15266730657781655,0.1616707598621195,0.40814696485623003,0.3927272727272727,0.4215207534007674,0.001
12,0.14646257548191297,0.16189078146761113,0.42971246006389774,0.3890909090909091,0.4493082199744216,0.001
13,0.1456410238822809,0.16628463680093938,0.43690095846645366,0.3490909090909091,0.41489361702127664,0.001
14,0.14137510003182835,0.1600443289496682,0.44009584664536744,0.3927272727272727,0.4433205441227764,0.001
15,0.14282125594040837,0.15934673829512164,0.43210862619808305,0.4254545454545455,0.40251133589117544,0.001
16,0.13612925637358675,0.1554180805791508,0.46166134185303515,0.4109090909090909,0.41338216486455065,0.001
17,0.13196739882897265,0.16407048772681843,0.45686900958466453,0.3890909090909091,0.4283332565541962,0.001
18,0.13169388699169737,0.15934585880149493,0.4504792332268371,0.4109090909090909,0.4177421230089524,0.001
19,0.1244630231120335,0.17640764084729282,0.476038338658147,0.33454545454545453,0.41138810098869594,0.001
20,0.1252983222944668,0.178078763701699,0.4768370607028754,0.3927272727272727,0.45928731411222484,0.001
21,0.12238730554477856,0.18256899172609503,0.4776357827476038,0.37454545454545457,0.4003768758788469,0.001
22,0.11642178928794952,0.19213658820499074,0.48083067092651754,0.3236363636363636,0.407315516186139,0.001
23,0.12199983281639819,0.16788017197088762,0.4672523961661342,0.41818181818181815,0.42962863028213044,0.001
24,0.11471895523631154,0.176196876141158,0.48482428115015974,0.3927272727272727,0.41881044985993293,0.0005
25,0.10975693190059722,0.19306395308537916,0.5063897763578274,0.3890909090909091,0.43245739306311465,0.0005
26,0.10496192489759609,0.2090882001139901,0.5079872204472844,0.3890909090909091,0.42909885423590505,0.0005
27,0.10162645927109658,0.19986490702087228,0.5255591054313099,0.38181818181818183,0.4174481685982104,0.0005
28,0.10270766306894656,0.1955457809025591,0.5023961661341853,0.38545454545454544,0.41081225746019007,0.0005
29,0.1035712586043361,0.21785192635926334,0.5143769968051118,0.36727272727272725,0.407756447802252,0.0005
30,0.10604848629369522,0.19999700221148403,0.49121405750798725,0.4036363636363636,0.4275961768377086,0.0005
31,0.0980397579245293,0.20155703048814427,0.5223642172523961,0.37454545454545457,0.40886097053216713,0.0005
32,0.09675011138756054,0.19744427876038984,0.5295527156549521,0.39636363636363636,0.4015691461940582,0.00025
33,0.1018724739789582,0.20516923495314338,0.5119808306709265,0.44727272727272727,0.44023292596516855,0.00025
34,0.10123152404833145,0.1958703647689386,0.518370607028754,0.4290909090909091,0.4126670220443871,0.00025
35,0.10104774348080729,0.2085742829062722,0.5007987220447284,0.4509090909090909,0.4215777893312099,0.00025
