epoch,train_loss,val_loss,lr
1,1.021408159291144,2.224331408228193,0.001
2,1.0171904803608818,2.128925903865269,0.001
3,1.003031328384825,2.1292740167890276,0.001
4,0.9978398879869379,2.12531140599932,0.001
5,0.997102417705728,2.127106969697135,0.001
6,0.9941155975456718,2.127994681085859,0.001
7,0.9965483002311034,2.1247814416885378,0.001
8,0.9966323615406915,2.1256034115382603,0.001
9,0.9849883441873591,2.1402746725082396,0.001
10,0.9838582265720093,2.118511576652527,0.001
11,0.9808020995675231,2.130547595024109,0.001
12,0.9719084862324832,2.12843574660165,0.001
13,0.9658575523885892,2.1187831708363123,0.001
14,0.9456018590455433,2.133767313957214,0.001
15,0.9313413342125982,2.158773115021842,0.001
16,0.9319539861498977,2.1597050298963274,0.001
17,0.9286596781487088,2.1215836443219867,0.0005
18,0.9101637585772028,2.1341537025996615,0.0005
19,0.8946785749720155,2.1157035194124494,0.0005
20,0.8648941556326777,2.1305436297825406,0.0005
21,0.8682697114970187,2.128777001244681,0.0005
22,0.850075475174746,2.1639333404813494,0.0005
23,0.8350655767664635,2.149782851082938,0.0005
24,0.8449387239252063,2.2105421720232283,0.0005
25,0.8301797533206803,2.1934418760027206,0.0005
26,0.8353425289336726,2.14399282182966,0.00025
27,0.7897700712299175,2.1497645023890906,0.00025
28,0.7748741160193793,2.157092123712812,0.00025
29,0.7619431414406934,2.1596439702170236,0.00025
30,0.754587047670385,2.1809826612472536,0.00025
31,0.7366739626303851,2.1892010150636945,0.00025
32,0.721519111879438,2.2217988334383283,0.00025
33,0.7120526083510557,2.240580428668431,0.000125
34,0.7000180997222447,2.2328133269718715,0.000125
