epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,0.2881608412728154,0.17643035395578904,0.3224261771747805,0.2,0.3333333333333333,0.001
2,0.17573021503324424,0.17502453408458016,0.20031923383878691,0.2,0.3333333333333333,0.001
3,0.17314117835315818,0.17150396829301662,0.20031923383878691,0.2,0.3333333333333333,0.001
4,0.16947108725976298,0.16944813094355843,0.20031923383878691,0.2,0.3333333333333333,0.001
5,0.1687029328997004,0.1716039947488091,0.20031923383878691,0.2,0.3333333333333333,0.001
6,0.16850661271729664,0.1698306665095416,0.21468475658419792,0.2,0.3333333333333333,0.001
7,0.16667464467067292,0.1682490145076405,0.24421388667198723,0.3781818181818182,0.3907647907647907,0.001
8,0.16375469328970882,0.16963132002136924,0.4245810055865922,0.36727272727272725,0.39855699855699855,0.001
9,0.16289827228781706,0.16789357775991612,0.4054269752593775,0.4036363636363636,0.41271096053704753,0.001
10,0.16169957742868,0.17340326851064508,0.42936951316839583,0.3927272727272727,0.38326118326118325,0.001
11,0.16070147894519096,0.17509397701783613,0.41899441340782123,0.38545454545454544,0.3538239538239538,0.001
12,0.15817740131452002,0.17006932188164103,0.4381484437350359,0.3890909090909091,0.38297258297258296,0.001
13,0.15460026330788043,0.169225678877397,0.44373503591380686,0.38545454545454544,0.38845598845598844,0.001
14,0.15514510838465032,0.17457600279287858,0.44692737430167595,0.38181818181818183,0.39105339105339104,0.001
15,0.15465133076463808,0.17293011914600026,0.45490822027134875,0.4,0.38383838383838387,0.001
16,0.15210723309686255,0.1707962916655974,0.46368715083798884,0.3927272727272727,0.39480519480519477,0.001
17,0.1506471067595653,0.17301561496474527,0.4581005586592179,0.4036363636363636,0.39278499278499285,0.0005
18,0.14823612375727485,0.17620518803596497,0.46209098164405427,0.38181818181818183,0.35642135642135647,0.0005
19,0.14651143238103018,0.17519304768605665,0.47007182761372707,0.3927272727272727,0.3688311688311688,0.0005
20,0.1507100432587926,0.17650361023165964,0.4668794892258579,0.4,0.3722943722943723,0.0005
21,0.1472215517606149,0.17539478003978728,0.46608140462889064,0.3890909090909091,0.3627705627705628,0.0005
22,0.14671415295109974,0.17470262392000718,0.47086991221069435,0.3890909090909091,0.36854256854256856,0.0005
23,0.1461906998945253,0.17545460738918997,0.4652833200319234,0.3927272727272727,0.3717171717171717,0.0005
24,0.14836360107444327,0.17330198445103384,0.4652833200319234,0.4,0.3896103896103896,0.0005
