epoch,train_loss,val_loss,lr
1,1.0607659984688733,2.053655270984452,0.001
2,1.02461850511435,1.9360181910140637,0.001
3,1.013182766365083,1.9729984589428602,0.001
4,1.0019860837341013,1.928970986068736,0.001
5,1.0057114529016926,1.9647531777376699,0.001
6,1.0001383777810724,1.9303129367347633,0.001
7,0.9878752145977968,2.001038415230587,0.001
8,1.003037703794669,1.9751288595251557,0.001
9,0.9898638527696304,1.9751507012980511,0.001
10,0.9800641877545836,1.9519455327325037,0.001
11,0.986680107551385,1.9415031260625544,0.001
12,0.9821020139185763,2.018404292800446,0.001
13,0.9686074592790551,1.9602751155315368,0.001
14,0.9733585856896079,2.003740299625033,0.001
15,0.9679334320086801,2.1002399866197674,0.0005
16,0.9602080960629394,2.053051833235925,0.0005
17,0.939941779849279,2.1308118147161417,0.0005
18,0.9287336134449553,2.2588662081258497,0.0005
19,0.925284490400915,2.2481858837507076,0.0005
20,0.9059246477171861,2.305819573779197,0.0005
21,0.9280321257219789,2.2647971756126966,0.0005
22,0.9033560980090779,2.426266109586087,0.0005
23,0.908569020131675,2.3938827849214017,0.0005
24,0.8974523641457215,2.545715925154309,0.0005
25,0.9004282510083025,2.3589228502086463,0.0005
26,0.9021921612281167,2.586450636549282,0.00025
27,0.8917112143000187,2.7001302956885147,0.00025
28,0.8773952245053666,2.527841110645263,0.00025
29,0.8565365955315901,2.677458726742612,0.00025
