epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,lr
1,2.620688608660104,1.0896999242089012,0.3059105431309904,0.18181818181818182,0.3234383609467206,0.001
2,1.0922704089563875,1.155286264853044,0.2452076677316294,0.6218181818181818,0.29381443298969073,0.001
3,1.0842715880741327,1.1240360407395797,0.4225239616613419,0.3781818181818182,0.3388034339024257,0.001
4,1.025805474660648,1.1617062798413362,0.4752396166134185,0.4581818181818182,0.34532927860288454,0.0005
5,0.9743495650184802,1.1567651228471236,0.5071884984025559,0.4763636363636364,0.3730415105132767,0.0005
6,0.9509418395380623,1.1836656774174084,0.49201277955271566,0.5127272727272727,0.3750962157251196,0.0005
7,0.9324104551690074,1.1610191462256692,0.49201277955271566,0.5018181818181818,0.38311524435639566,0.00025
8,0.8819511290937186,1.1849216227097945,0.5295527156549521,0.46545454545454545,0.33168452178155766,0.00025
9,0.8746224114308342,1.2083497866717252,0.5391373801916933,0.4763636363636364,0.33785915279688067,0.00025
10,0.880833495158357,1.1977090701189907,0.5263578274760383,0.5018181818181818,0.36798781898404603,0.000125
